vin,manufacture_date,purchase_date,model_year,car_type,annual_mileage,n_fails,nvlw_timeout,days_to_mileout,nvlw_mileout,nvlw_end_date
0,2019-02-21,2019-10-04,2019,Sedan,13124.519658464087,1.0,2022-10-04,1001.1794977598231,2022-07-01,2022-07-01
1,2019-01-06,2019-05-23,2019,Sedan,9793.37160268057,0.0,2022-05-23,1341.723824347012,2023-01-24,2022-05-23
2,2018-10-07,2019-06-26,2019,Sedan,11250.898686395112,1.0,2022-06-26,1167.9067038341782,2022-09-06,2022-06-26
3,2019-02-16,2019-05-11,2019,Sedan,11196.080769034324,0.0,2022-05-11,1173.6249738696142,2022-07-28,2022-05-11
4,2019-07-15,2019-10-20,2019,Sedan,10692.16939014284,0.0,2022-10-20,1228.9367592804717,2023-03-02,2022-10-20
5,2019-05-22,2020-04-20,2019,Sedan,8505.133673027838,0.0,2023-04-20,1544.9492630163618,2024-07-13,2023-04-20
6,2019-06-25,2019-10-11,2019,Sedan,11803.536300859105,0.0,2022-10-11,1113.2257033041549,2022-10-28,2022-10-11
7,2018-11-13,2019-07-18,2019,Sedan,7392.845481024438,0.0,2022-07-18,1777.3941080909983,2024-05-29,2022-07-18
8,2019-05-27,2020-05-19,2019,Sedan,13683.067493682913,0.0,2023-05-19,960.3109833424684,2023-01-04,2023-01-04
9,2018-12-28,2019-03-27,2019,Sedan,17552.129942450836,0.0,2022-03-27,748.6270921582088,2021-04-14,2021-04-14
10,2019-04-07,2020-02-20,2019,Sedan,12370.762400100411,0.0,2023-02-20,1062.1819072277506,2023-01-17,2023-01-17
11,2018-12-28,2019-06-15,2019,Sedan,10490.429637238629,0.0,2022-06-15,1252.5702430104484,2022-11-19,2022-06-15
12,2018-09-29,2018-12-17,2019,Sedan,11986.581783469657,0.0,2021-12-17,1096.2257829101027,2021-12-17,2021-12-17
13,2019-03-09,2019-06-21,2019,Sedan,10058.623516023035,0.0,2022-06-21,1306.3417652592764,2023-01-17,2022-06-21
14,2018-12-27,2019-10-05,2019,Sedan,10983.729236295945,0.0,2022-10-05,1196.3149962381278,2023-01-13,2022-10-05
15,2019-02-06,2019-11-07,2019,Sedan,11855.221773677893,0.0,2022-11-07,1108.372348560758,2022-11-19,2022-11-07
16,2018-12-04,2019-03-09,2019,Sedan,12006.911561810968,0.0,2022-03-09,1094.3696830243107,2022-03-07,2022-03-07
17,2019-03-02,2019-09-01,2019,Sedan,8818.069024379083,0.0,2022-09-01,1490.1221530101643,2023-09-30,2022-09-01
18,2019-04-11,2019-07-26,2019,Sedan,10266.032957360501,0.0,2022-07-26,1279.9491346439652,2023-01-26,2022-07-26
19,2019-04-26,2020-04-02,2019,Sedan,13405.3694546208,1.0,2023-04-02,980.2042416272734,2022-12-08,2022-12-08
20,2019-06-03,2020-03-06,2019,Sedan,9739.58088917156,0.0,2023-03-06,1349.1340284066039,2023-11-15,2023-03-06
21,2018-10-25,2019-01-23,2019,Sedan,9012.889874455144,0.0,2022-01-23,1457.9119664206871,2023-01-20,2022-01-23
22,2018-09-05,2019-08-20,2019,Sedan,14036.61703788044,0.0,2022-08-20,936.1229963415863,2022-03-13,2022-03-13
23,2018-12-10,2019-04-12,2019,Sedan,8753.79017692642,0.0,2022-04-12,1501.0640801780835,2023-05-22,2022-04-12
24,2018-08-20,2019-02-10,2019,Sedan,12766.512589928723,0.0,2022-02-10,1029.2552415893056,2021-12-05,2021-12-05
25,2019-05-23,2020-05-15,2019,Sedan,10522.83717371636,0.0,2023-05-15,1248.7126601959324,2023-10-16,2023-05-15
26,2018-09-30,2018-12-30,2019,Sedan,11926.61279355278,1.0,2021-12-30,1101.737788209503,2022-01-05,2021-12-30
27,2018-10-30,2019-10-20,2019,Sedan,13912.707799796264,0.0,2022-10-20,944.4602868891143,2022-05-21,2022-05-21
28,2019-04-23,2020-04-16,2019,Sedan,10932.547132989335,0.0,2023-04-16,1201.915696329321,2023-08-01,2023-04-16
29,2018-11-01,2019-07-22,2019,Sedan,10771.252305928027,0.0,2022-07-22,1219.9138620834572,2022-11-23,2022-07-22
30,2018-08-10,2018-11-03,2019,Sedan,12349.737859785886,0.0,2021-11-03,1063.9901955156006,2021-10-02,2021-10-02
31,2019-01-06,2019-06-28,2019,Sedan,11059.719240179327,0.0,2022-06-28,1188.0952594405048,2022-09-28,2022-06-28
