vin,purchase_date,nvlw_end_date,n_claims,censor_date,days_to_censor,censor_claim_status,days_to_censor_claim,censor_claim_date
8574,2018-10-03,2021-10-03,0.0,2021-10-03,1096,Censor,1096,2021-10-03
4512,2018-10-06,2020-03-24,1.0,2020-03-24,535,Claim,422,2019-12-02
4512,2018-10-06,2020-03-24,1.0,2020-03-24,535,Censor,535,2020-03-24
513,2018-10-07,2021-10-07,0.0,2021-10-07,1096,Censor,1096,2021-10-07
9816,2018-10-07,2021-10-07,0.0,2021-10-07,1096,Censor,1096,2021-10-07
9486,2018-10-08,2021-10-08,0.0,2021-10-08,1096,Censor,1096,2021-10-08
8225,2018-10-11,2021-10-11,0.0,2021-10-11,1096,Censor,1096,2021-10-11
1936,2018-10-13,2021-10-13,0.0,2021-10-13,1096,Censor,1096,2021-10-13
3815,2018-10-14,2020-10-31,0.0,2020-10-31,748,Censor,748,2020-10-31
6734,2018-10-14,2021-10-14,0.0,2021-10-14,1096,Censor,1096,2021-10-14
2134,2018-10-15,2020-06-19,0.0,2020-06-19,613,Censor,613,2020-06-19
7906,2018-10-15,2021-06-15,0.0,2021-06-15,974,Censor,974,2021-06-15
1479,2018-10-16,2021-04-29,0.0,2021-04-29,926,Censor,926,2021-04-29
833,2018-10-17,2021-05-23,0.0,2021-05-23,949,Censor,949,2021-05-23
8140,2018-10-17,2021-10-17,0.0,2021-10-17,1096,Censor,1096,2021-10-17
2479,2018-10-18,2020-06-20,0.0,2020-06-20,611,Censor,611,2020-06-20
4609,2018-10-18,2020-03-30,0.0,2020-03-30,529,Censor,529,2020-03-30
1898,2018-10-19,2021-02-09,0.0,2021-02-09,844,Censor,844,2021-02-09
6483,2018-10-19,2021-10-08,0.0,2021-10-08,1085,Censor,1085,2021-10-08
8451,2018-10-20,2021-10-20,0.0,2021-10-20,1096,Censor,1096,2021-10-20
1431,2018-10-21,2021-10-21,1.0,2021-10-21,1096,Claim,126,2019-02-24
1431,2018-10-21,2021-10-21,1.0,2021-10-21,1096,Censor,1096,2021-10-21
2977,2018-10-21,2020-11-02,0.0,2020-11-02,743,Censor,743,2020-11-02
2795,2018-10-22,2020-05-06,0.0,2020-05-06,562,Censor,562,2020-05-06
1911,2018-10-23,2021-06-12,1.0,2021-06-12,963,Claim,887,2021-03-28
1911,2018-10-23,2021-06-12,1.0,2021-06-12,963,Censor,963,2021-06-12
2603,2018-10-23,2020-04-12,0.0,2020-04-12,537,Censor,537,2020-04-12
8205,2018-10-23,2021-10-23,0.0,2021-10-23,1096,Censor,1096,2021-10-23
7219,2018-10-24,2021-09-15,0.0,2021-09-15,1057,Censor,1057,2021-09-15
7791,2018-10-24,2021-04-18,0.0,2021-04-18,907,Censor,907,2021-04-18
180,2018-10-25,2021-10-25,0.0,2021-10-25,1096,Censor,1096,2021-10-25
