car_type,model_year,interval_start,interval_end,duration,exposure_month,n_censored,n_failed,active_warranties,ln_warranties
Compact SUV,2019,2019-03-01,2019-03-31,0,03,0.0,1.0,154,5.0369526024136295
Compact SUV,2019,2019-03-01,2019-03-31,4,03,0.0,1.0,154,5.0369526024136295
Compact SUV,2019,2019-05-01,2019-05-31,1,05,0.0,1.0,278,5.627621113690637
Compact SUV,2019,2019-06-01,2019-06-30,2,06,0.0,1.0,346,5.846438775057725
Compact SUV,2019,2019-06-01,2019-06-30,4,06,0.0,1.0,346,5.846438775057725
Compact SUV,2019,2019-07-01,2019-07-31,4,07,0.0,1.0,444,6.095824562432225
Compact SUV,2019,2019-08-01,2019-08-31,7,08,0.0,1.0,523,6.259581464064923
Compact SUV,2019,2019-09-01,2019-09-30,6,09,0.0,1.0,599,6.395261598115449
Compact SUV,2019,2019-10-01,2019-10-31,2,10,0.0,4.0,679,6.520621127558696
Compact SUV,2019,2019-10-01,2019-10-31,7,10,0.0,1.0,679,6.520621127558696
Compact SUV,2019,2019-11-01,2019-11-30,6,11,0.0,1.0,755,6.626717749249025
Compact SUV,2019,2019-11-01,2019-11-30,10,11,0.0,1.0,755,6.626717749249025
Compact SUV,2019,2019-12-01,2019-12-31,1,12,0.0,1.0,812,6.699500340161678
Compact SUV,2019,2019-12-01,2019-12-31,5,12,0.0,1.0,812,6.699500340161678
Compact SUV,2019,2019-12-01,2019-12-31,6,12,0.0,1.0,812,6.699500340161678
Compact SUV,2019,2019-12-01,2019-12-31,8,12,0.0,1.0,812,6.699500340161678
Compact SUV,2019,2020-01-01,2020-01-31,12,01,0.0,1.0,871,6.769641976852503
Compact SUV,2019,2020-01-01,2020-01-31,15,01,0.0,1.0,871,6.769641976852503
Compact SUV,2019,2020-02-01,2020-02-29,2,02,0.0,1.0,903,6.805722553416985
Compact SUV,2019,2020-02-01,2020-02-29,6,02,0.0,1.0,903,6.805722553416985
Compact SUV,2019,2020-02-01,2020-02-29,10,02,0.0,2.0,903,6.805722553416985
Compact SUV,2019,2020-03-01,2020-03-31,9,03,0.0,1.0,939,6.844815479208263
Compact SUV,2019,2020-03-01,2020-03-31,11,03,0.0,1.0,939,6.844815479208263
Compact SUV,2019,2020-04-01,2020-04-30,2,04,0.0,1.0,960,6.866933284461882
Compact SUV,2019,2020-04-01,2020-04-30,6,04,0.0,1.0,960,6.866933284461882
Compact SUV,2019,2020-04-01,2020-04-30,14,04,0.0,1.0,960,6.866933284461882
Compact SUV,2019,2020-05-01,2020-05-31,5,05,0.0,1.0,979,6.88653164253051
Compact SUV,2019,2020-05-01,2020-05-31,6,05,0.0,1.0,979,6.88653164253051
Compact SUV,2019,2020-05-01,2020-05-31,9,05,0.0,1.0,979,6.88653164253051
Compact SUV,2019,2020-06-01,2020-06-30,1,06,0.0,1.0,994,6.901737206656574
Compact SUV,2019,2020-06-01,2020-06-30,8,06,0.0,1.0,994,6.901737206656574
Compact SUV,2019,2020-06-01,2020-06-30,14,06,0.0,1.0,994,6.901737206656574
Compact SUV,2019,2020-06-01,2020-06-30,15,06,0.0,1.0,994,6.901737206656574
Compact SUV,2019,2020-06-01,2020-06-30,17,06,1.0,0.0,994,6.901737206656574
Compact SUV,2019,2020-06-01,2020-06-30,18,06,0.0,1.0,994,6.901737206656574
Compact SUV,2019,2020-07-01,2020-07-31,2,07,0.0,1.0,999,6.906754778648554
Compact SUV,2019,2020-07-01,2020-07-31,13,07,0.0,1.0,999,6.906754778648554
Compact SUV,2019,2020-07-01,2020-07-31,17,07,0.0,1.0,999,6.906754778648554
Compact SUV,2019,2020-07-01,2020-07-31,19,07,1.0,0.0,999,6.906754778648554
Compact SUV,2019,2020-07-01,2020-07-31,21,07,0.0,1.0,999,6.906754778648554
Compact SUV,2019,2020-08-01,2020-08-31,16,08,0.0,1.0,998,6.905753276311464
Compact SUV,2019,2020-09-01,2020-09-30,5,09,0.0,1.0,998,6.905753276311464
Compact SUV,2019,2020-09-01,2020-09-30,7,09,0.0,1.0,998,6.905753276311464
Compact SUV,2019,2020-09-01,2020-09-30,19,09,1.0,0.0,998,6.905753276311464
Compact SUV,2019,2020-10-01,2020-10-31,15,10,0.0,1.0,997,6.904750769961838
Compact SUV,2019,2020-10-01,2020-10-31,23,10,1.0,0.0,997,6.904750769961838
Compact SUV,2019,2020-11-01,2020-11-30,12,11,0.0,1.0,995,6.902742737158593
Compact SUV,2019,2020-11-01,2020-11-30,13,11,0.0,1.0,995,6.902742737158593
Compact SUV,2019,2020-11-01,2020-11-30,15,11,0.0,2.0,995,6.902742737158593
Compact SUV,2019,2020-11-01,2020-11-30,16,11,0.0,2.0,995,6.902742737158593
Compact SUV,2019,2020-11-01,2020-11-30,18,11,1.0,0.0,995,6.902742737158593
Compact SUV,2019,2020-11-01,2020-11-30,20,11,2.0,1.0,995,6.902742737158593
Compact SUV,2019,2020-11-01,2020-11-30,22,11,4.0,0.0,995,6.902742737158593
Compact SUV,2019,2020-11-01,2020-11-30,23,11,0.0,1.0,995,6.902742737158593
Compact SUV,2019,2020-11-01,2020-11-30,24,11,2.0,0.0,995,6.902742737158593
Compact SUV,2019,2020-12-01,2020-12-31,8,12,0.0,1.0,987,6.894670039433482
Compact SUV,2019,2020-12-01,2020-12-31,12,12,0.0,1.0,987,6.894670039433482
Compact SUV,2019,2020-12-01,2020-12-31,13,12,0.0,1.0,987,6.894670039433482
Compact SUV,2019,2020-12-01,2020-12-31,21,12,1.0,0.0,987,6.894670039433482
Compact SUV,2019,2020-12-01,2020-12-31,22,12,2.0,1.0,987,6.894670039433482
Compact SUV,2019,2020-12-01,2020-12-31,24,12,1.0,0.0,987,6.894670039433482
Compact SUV,2019,2020-12-01,2020-12-31,25,12,1.0,0.0,987,6.894670039433482
Compact SUV,2019,2020-12-01,2020-12-31,26,12,1.0,0.0,987,6.894670039433482
Compact SUV,2019,2021-01-01,2021-01-31,16,01,0.0,2.0,981,6.8885724595653635
Compact SUV,2019,2021-01-01,2021-01-31,18,01,1.0,0.0,981,6.8885724595653635
Compact SUV,2019,2021-01-01,2021-01-31,21,01,2.0,1.0,981,6.8885724595653635
Compact SUV,2019,2021-01-01,2021-01-31,22,01,4.0,0.0,981,6.8885724595653635
