vin,purchase_date,nvlw_end_date,n_fails,censor_date,days_purchase_to_censor,censor_fail_status,days_purchase_to_censor_fail,censor_fail_date,vin_event_number,days_since_event
1637,2018-10-05,2021-08-26,0.0,2021-08-26,1056,C,1056,2021-08-26,1,1056
2358,2018-10-05,2020-05-29,0.0,2020-05-29,602,C,602,2020-05-29,1,602
8602,2018-10-06,2021-10-06,0.0,2021-10-06,1096,C,1096,2021-10-06,1,1096
6955,2018-10-09,2021-10-09,1.0,2021-10-09,1096,F,388,2019-11-01,1,388
6955,2018-10-09,2021-10-09,1.0,2021-10-09,1096,C,1096,2021-10-09,2,708
9741,2018-10-12,2021-10-12,0.0,2021-10-12,1096,C,1096,2021-10-12,1,1096
1911,2018-10-13,2021-10-13,0.0,2021-10-13,1096,C,1096,2021-10-13,1,1096
2055,2018-10-13,2020-11-08,0.0,2020-11-08,757,C,757,2020-11-08,1,757
9701,2018-10-13,2021-10-13,0.0,2021-10-13,1096,C,1096,2021-10-13,1,1096
4443,2018-10-14,2020-01-03,0.0,2020-01-03,446,C,446,2020-01-03,1,446
3154,2018-10-15,2021-10-15,1.0,2021-10-15,1096,F,1034,2021-08-14,1,1034
3154,2018-10-15,2021-10-15,1.0,2021-10-15,1096,C,1096,2021-10-15,2,62
4650,2018-10-15,2019-10-24,0.0,2019-10-24,374,C,374,2019-10-24,1,374
4792,2018-10-15,2019-08-03,0.0,2019-08-03,292,C,292,2019-08-03,1,292
8661,2018-10-15,2021-10-15,0.0,2021-10-15,1096,C,1096,2021-10-15,1,1096
9766,2018-10-16,2021-10-16,0.0,2021-10-16,1096,C,1096,2021-10-16,1,1096
5159,2018-10-17,2021-10-17,0.0,2021-10-17,1096,C,1096,2021-10-17,1,1096
3050,2018-10-18,2021-03-29,0.0,2021-03-29,893,C,893,2021-03-29,1,893
3975,2018-10-18,2020-12-04,0.0,2020-12-04,778,C,778,2020-12-04,1,778
5960,2018-10-18,2021-10-18,0.0,2021-10-18,1096,C,1096,2021-10-18,1,1096
6289,2018-10-18,2021-03-11,0.0,2021-03-11,875,C,875,2021-03-11,1,875
3957,2018-10-20,2021-05-21,0.0,2021-05-21,944,C,944,2021-05-21,1,944
4564,2018-10-21,2020-01-04,1.0,2020-01-04,440,F,53,2018-12-13,1,53
4564,2018-10-21,2020-01-04,1.0,2020-01-04,440,C,440,2020-01-04,2,387
2213,2018-10-22,2020-07-02,0.0,2020-07-02,619,C,619,2020-07-02,1,619
3117,2018-10-22,2020-12-10,0.0,2020-12-10,780,C,780,2020-12-10,1,780
7544,2018-10-22,2021-10-04,0.0,2021-10-04,1078,C,1078,2021-10-04,1,1078
9236,2018-10-22,2021-10-22,0.0,2021-10-22,1096,C,1096,2021-10-22,1,1096
6646,2018-10-23,2021-02-17,1.0,2021-02-17,848,F,609,2020-06-23,1,609
6646,2018-10-23,2021-02-17,1.0,2021-02-17,848,C,848,2021-02-17,2,239
7007,2018-10-23,2021-08-06,0.0,2021-08-06,1018,C,1018,2021-08-06,1,1018
3958,2018-10-25,2021-02-01,0.0,2021-02-01,830,C,830,2021-02-01,1,830
6259,2018-10-25,2021-09-15,1.0,2021-09-15,1056,F,171,2019-04-14,1,171
6259,2018-10-25,2021-09-15,1.0,2021-09-15,1056,C,1056,2021-09-15,2,885
4691,2018-10-26,2020-01-21,0.0,2020-01-21,452,C,452,2020-01-21,1,452
5463,2018-10-26,2021-01-03,1.0,2021-01-03,800,F,450,2020-01-19,1,450
5463,2018-10-26,2021-01-03,1.0,2021-01-03,800,C,800,2021-01-03,2,350
1909,2018-10-27,2021-06-23,0.0,2021-06-23,970,C,970,2021-06-23,1,970
2795,2018-10-27,2021-07-06,0.0,2021-07-06,983,C,983,2021-07-06,1,983
5472,2018-10-27,2021-03-26,1.0,2021-03-26,881,F,630,2020-07-18,1,630
5472,2018-10-27,2021-03-26,1.0,2021-03-26,881,C,881,2021-03-26,2,251
2374,2018-10-28,2020-08-22,0.0,2020-08-22,664,C,664,2020-08-22,1,664
3837,2018-10-28,2021-04-15,0.0,2021-04-15,900,C,900,2021-04-15,1,900
1869,2018-10-29,2021-04-15,0.0,2021-04-15,899,C,899,2021-04-15,1,899
3359,2018-10-30,2021-05-16,0.0,2021-05-16,929,C,929,2021-05-16,1,929
