car_type,model_year,interval_start,interval_end,duration,exposure_month,n_censored,n_failed,active_warranties
Compact SUV,2019,2019-03-01,2019-03-31,0,03,,1.0,154
Compact SUV,2019,2019-03-01,2019-03-31,4,03,,1.0,154
Compact SUV,2019,2019-05-01,2019-05-31,1,05,,1.0,278
Compact SUV,2019,2019-06-01,2019-06-30,2,06,,1.0,346
Compact SUV,2019,2019-06-01,2019-06-30,4,06,,1.0,346
Compact SUV,2019,2019-07-01,2019-07-31,4,07,,1.0,444
Compact SUV,2019,2019-08-01,2019-08-31,7,08,,1.0,523
Compact SUV,2019,2019-09-01,2019-09-30,6,09,,1.0,599
Compact SUV,2019,2019-10-01,2019-10-31,2,10,,4.0,679
Compact SUV,2019,2019-10-01,2019-10-31,7,10,,1.0,679
Compact SUV,2019,2019-11-01,2019-11-30,6,11,,1.0,755
Compact SUV,2019,2019-11-01,2019-11-30,10,11,,1.0,755
Compact SUV,2019,2019-12-01,2019-12-31,1,12,,1.0,812
Compact SUV,2019,2019-12-01,2019-12-31,5,12,,1.0,812
Compact SUV,2019,2019-12-01,2019-12-31,6,12,,1.0,812
Compact SUV,2019,2019-12-01,2019-12-31,8,12,,1.0,812
Compact SUV,2019,2020-01-01,2020-01-31,12,01,,1.0,871
Compact SUV,2019,2020-01-01,2020-01-31,15,01,,1.0,871
Compact SUV,2019,2020-02-01,2020-02-29,2,02,,1.0,903
Compact SUV,2019,2020-02-01,2020-02-29,6,02,,1.0,903
Compact SUV,2019,2020-02-01,2020-02-29,10,02,,2.0,903
Compact SUV,2019,2020-03-01,2020-03-31,9,03,,1.0,939
Compact SUV,2019,2020-03-01,2020-03-31,11,03,,1.0,939
Compact SUV,2019,2020-04-01,2020-04-30,2,04,,1.0,960
Compact SUV,2019,2020-04-01,2020-04-30,6,04,,1.0,960
Compact SUV,2019,2020-04-01,2020-04-30,14,04,,1.0,960
Compact SUV,2019,2020-05-01,2020-05-31,5,05,,1.0,979
Compact SUV,2019,2020-05-01,2020-05-31,6,05,,1.0,979
Compact SUV,2019,2020-05-01,2020-05-31,9,05,,1.0,979
Compact SUV,2019,2020-06-01,2020-06-30,1,06,,1.0,994
Compact SUV,2019,2020-06-01,2020-06-30,8,06,,1.0,994
Compact SUV,2019,2020-06-01,2020-06-30,14,06,,1.0,994
Compact SUV,2019,2020-06-01,2020-06-30,15,06,,1.0,994
Compact SUV,2019,2020-06-01,2020-06-30,17,06,1.0,,994
Compact SUV,2019,2020-06-01,2020-06-30,18,06,,1.0,994
Compact SUV,2019,2020-07-01,2020-07-31,2,07,,1.0,999
Compact SUV,2019,2020-07-01,2020-07-31,13,07,,1.0,999
Compact SUV,2019,2020-07-01,2020-07-31,17,07,,1.0,999
Compact SUV,2019,2020-07-01,2020-07-31,19,07,1.0,,999
Compact SUV,2019,2020-07-01,2020-07-31,21,07,,1.0,999
Compact SUV,2019,2020-08-01,2020-08-31,16,08,,1.0,998
Compact SUV,2019,2020-09-01,2020-09-30,5,09,,1.0,998
Compact SUV,2019,2020-09-01,2020-09-30,7,09,,1.0,998
Compact SUV,2019,2020-09-01,2020-09-30,19,09,1.0,,998
Compact SUV,2019,2020-10-01,2020-10-31,15,10,,1.0,997
Compact SUV,2019,2020-10-01,2020-10-31,23,10,1.0,,997
Compact SUV,2019,2020-11-01,2020-11-30,12,11,,1.0,995
Compact SUV,2019,2020-11-01,2020-11-30,13,11,,1.0,995
Compact SUV,2019,2020-11-01,2020-11-30,15,11,,2.0,995
Compact SUV,2019,2020-11-01,2020-11-30,16,11,,2.0,995
Compact SUV,2019,2020-11-01,2020-11-30,18,11,1.0,,995
Compact SUV,2019,2020-11-01,2020-11-30,20,11,2.0,1.0,995
Compact SUV,2019,2020-11-01,2020-11-30,22,11,4.0,,995
Compact SUV,2019,2020-11-01,2020-11-30,23,11,,1.0,995
Compact SUV,2019,2020-11-01,2020-11-30,24,11,2.0,,995
Compact SUV,2019,2020-12-01,2020-12-31,8,12,,1.0,987
Compact SUV,2019,2020-12-01,2020-12-31,12,12,,1.0,987
Compact SUV,2019,2020-12-01,2020-12-31,13,12,,1.0,987
Compact SUV,2019,2020-12-01,2020-12-31,21,12,1.0,,987
Compact SUV,2019,2020-12-01,2020-12-31,22,12,2.0,1.0,987
Compact SUV,2019,2020-12-01,2020-12-31,24,12,1.0,,987
Compact SUV,2019,2020-12-01,2020-12-31,25,12,1.0,,987
Compact SUV,2019,2020-12-01,2020-12-31,26,12,1.0,,987
Compact SUV,2019,2021-01-01,2021-01-31,16,01,,2.0,981
Compact SUV,2019,2021-01-01,2021-01-31,18,01,1.0,,981
Compact SUV,2019,2021-01-01,2021-01-31,21,01,2.0,1.0,981
Compact SUV,2019,2021-01-01,2021-01-31,22,01,4.0,,981
Compact SUV,2019,2021-01-01,2021-01-31,23,01,1.0,1.0,981
Compact SUV,2019,2021-01-01,2021-01-31,24,01,1.0,,981
Compact SUV,2019,2021-01-01,2021-01-31,25,01,3.0,,981
Compact SUV,2019,2021-01-01,2021-01-31,26,01,2.0,,981
Compact SUV,2019,2021-01-01,2021-01-31,27,01,1.0,,981
Compact SUV,2019,2021-02-01,2021-02-28,11,02,,1.0,966
Compact SUV,2019,2021-02-01,2021-02-28,16,02,,2.0,966
Compact SUV,2019,2021-02-01,2021-02-28,19,02,1.0,,966
Compact SUV,2019,2021-02-01,2021-02-28,20,02,1.0,,966
Compact SUV,2019,2021-02-01,2021-02-28,21,02,4.0,,966
Compact SUV,2019,2021-02-01,2021-02-28,23,02,3.0,,966
Compact SUV,2019,2021-02-01,2021-02-28,24,02,4.0,2.0,966
Compact SUV,2019,2021-02-01,2021-02-28,25,02,1.0,,966
Compact SUV,2019,2021-02-01,2021-02-28,27,02,1.0,,966
Compact SUV,2019,2021-03-01,2021-03-31,17,03,,1.0,949
Compact SUV,2019,2021-03-01,2021-03-31,19,03,1.0,,949
Compact SUV,2019,2021-03-01,2021-03-31,20,03,,1.0,949
Compact SUV,2019,2021-03-01,2021-03-31,21,03,1.0,1.0,949
Compact SUV,2019,2021-03-01,2021-03-31,22,03,2.0,1.0,949
Compact SUV,2019,2021-03-01,2021-03-31,23,03,3.0,,949
Compact SUV,2019,2021-03-01,2021-03-31,24,03,2.0,,949
Compact SUV,2019,2021-03-01,2021-03-31,25,03,4.0,,949
Compact SUV,2019,2021-03-01,2021-03-31,26,03,3.0,,949
Compact SUV,2019,2021-03-01,2021-03-31,28,03,2.0,,949
Compact SUV,2019,2021-03-01,2021-03-31,29,03,1.0,,949
Compact SUV,2019,2021-04-01,2021-04-30,15,04,,1.0,932
Compact SUV,2019,2021-04-01,2021-04-30,20,04,2.0,,932
Compact SUV,2019,2021-04-01,2021-04-30,21,04,3.0,1.0,932
Compact SUV,2019,2021-04-01,2021-04-30,22,04,1.0,,932
Compact SUV,2019,2021-04-01,2021-04-30,23,04,3.0,2.0,932
Compact SUV,2019,2021-04-01,2021-04-30,24,04,7.0,,932
Compact SUV,2019,2021-04-01,2021-04-30,25,04,4.0,,932
Compact SUV,2019,2021-04-01,2021-04-30,26,04,2.0,,932
Compact SUV,2019,2021-04-01,2021-04-30,27,04,2.0,,932
Compact SUV,2019,2021-04-01,2021-04-30,28,04,1.0,,932
Compact SUV,2019,2021-05-01,2021-05-31,20,05,,1.0,904
Compact SUV,2019,2021-05-01,2021-05-31,21,05,2.0,,904
Compact SUV,2019,2021-05-01,2021-05-31,22,05,2.0,2.0,904
Compact SUV,2019,2021-05-01,2021-05-31,23,05,5.0,1.0,904
Compact SUV,2019,2021-05-01,2021-05-31,24,05,4.0,,904
